,title,hits
83,처음으로 아기 체리랑 한국 버스에 탔다가 놀라운 경험을 했어요.,963500
77,뱃살 너무 빠져서 고민 3탄! 무조건 6kg 빠지는 양배추 다이어트요리 ! 꼭 해보세요!/다이어트요리 양배추요리💚,921216
93,다시 시작된 LA에서 혼자살기⎥🇺🇸이민15,888939
3,'인테리어 공사'라더니.. 주민 몰래 아파트 외벽 '싹둑' -R (230307화/뉴스데스크),883684
84,[05학번이즈히어] 신도시 돌싱은 재혼할 생각이 있는가,870051
0,[2023 WBC] 대한민국 vs 한신 평가전 하이라이트,837855
78,무김치 이렇게 담그면 기가막힙니다,828790
90,"9평에 혼자 살아요 l ""정리정돈도 이정도면 예술이라 부르자"" l 논현 빌라 전세",826918
16,안 친한 동창 결혼식 특,824781
89,3D펜으로 슬램덩크 송태섭 농구화 만들기,814135
32,주호민 새로운 작업실 알아보기,760497
30,[#미스터트롯2] (💧눈물 주의💧) 산전수전 다 겪은 현역부도 폭풍 눈물 흘린 사연은?! TOP10을 위한 깜짝 응원 메시지 #TV조선조이 (TV CHOSUN 230303 방송),641362
42,[유료광고포함] 🏝️ 고독한 여행가가 되어 홀로 1박 2일 브이로그,548579
87,[유료광고포함] 🏝️ 고독한 여행가가 되어 홀로 1박 2일 브이로그,548579
47,눈물이 그렁 그렁ㅠㅠ 퐁키야~ 울지마😭,520874
85,한국에서 갖고 온 선물에 아픈 것도 잊은 브라질 식구들,518831
40,한국에서 갖고 온 선물에 아픈 것도 잊은 브라질 식구들,518831
94,"홍콩 육식의 모든 것 : 로스트 거위, 새끼 돼지 통구이, 그리고 육식인생 최고의 한 입 (Hong Kong Food Trip : Meat All-Star)",516941
17,"홍콩 육식의 모든 것 : 로스트 거위, 새끼 돼지 통구이, 그리고 육식인생 최고의 한 입 (Hong Kong Food Trip : Meat All-Star)",516941
36,"두 얼굴의 도시, 라스베이거스 낮과 밤 즐기기 - 미국 〔09〕",515109
92,"두 얼굴의 도시, 라스베이거스 낮과 밤 즐기기 - 미국 〔09〕",515109
11,최저시급 21달러 받는 뉴질랜드 워홀러의 월급은?(+일주일 소비생활) [뉴질랜드15],491908
71,최저시급 21달러 받는 뉴질랜드 워홀러의 월급은?(+일주일 소비생활) [뉴질랜드15],491908
13,정동원 중학교 졸업했습니다💚 선화예중 졸업식 [eng],481488
26,"ENG│동대문 갔다가 봄 악세사리,에코백 만드는 자취일상. 떡쌈, 새우깡 애호박전, 씰링왁스 포장",478680
28,닭가슴살에서 버터맛이 난다는 동생.. 고칼로리로 두들겨 팼습니다,466211
22,파워 J+칼각+캠핑 경력 20년차! 라미란의 텐트 구경하기⛺,431556
1,＂상견례는 어디서 하면 좋을까?＂ 이장원 따라 결혼 임박한 김지석?!🫢 문제적 친구들의 실험🔥적인 집들이 [동상이몽|230306 SBS방송],413690
63,＂상견례는 어디서 하면 좋을까?＂ 이장원 따라 결혼 임박한 김지석?!🫢 문제적 친구들의 실험🔥적인 집들이 [동상이몽|230306 SBS방송],413690
62,"황민호, 그 겨울의 찻집 (조용필) | THE 트롯SHOW 230306",400844
6,"황민호, 그 겨울의 찻집 (조용필) | THE 트롯SHOW 230306",400844
41,✅고추장멸치볶음에 그동안 줄기차게 넣어왔던 ✔물엿✔조청✔올리고당은 더이상 넣지마세요💯,341276
81,✅고추장멸치볶음에 그동안 줄기차게 넣어왔던 ✔물엿✔조청✔올리고당은 더이상 넣지마세요💯,341276
49,빠니보틀님이 대접한 부대찌개를 먹고 바닥까지 핥은(?) 베트남 동생,338430
19,"이웃나라 전쟁에 폴란드가 진심인 이유 | 폴란드, 러시아, 우크라이나",330874
79,"이웃나라 전쟁에 폴란드가 진심인 이유 | 폴란드, 러시아, 우크라이나",330874
7,[몬 먹어도 고] EP.2 파국의 서막 (The Beginning of Chaos),291401
44,"1인 165,000원 뷔페는 얼마나 특별할까?",265160
38,입을 옷이 없는 건 oo이 없어서이다 🌸2023 봄맞이 🌸,261829
18,🔥실비김치🔥사리곰탕면 40봉지 끼리먹기,254457
34,【클린버전】인생곡_손태진 - 상사화 | 🔥불타는 트롯맨 12화🔥 230307,236178
4,"환희(Hwan Hee)의 킬링보이스를 라이브로! – 내사람, Tomorrow, Missing You, 심장을 놓쳐서, 널 사랑했던 계절 | 딩고뮤직 | Dingo Music",227037
20,김경화와 양대혁의 진짜 모습을 전하는 김승수! 충격받은 김지안👀 ＂아픈 거 거짓말이야?＂ [삼남매가 용감하게] | KBS 230305 방송,223117
21,[#습속친구들] 경계심 만렙이라는 야생꿩이 부르면 달려와 안긴다!? 놀라운 아저씨와 꿩돌이의 우정💛 #순간포착세상에이런일이 #WhatonEarth #SBSstory,218380
37,마지막 승무원 이야기~!!!,214559
2,[SUB] 팜유 먹교수 박나래와 레전드 먹방 (feat. 김두영) | 제주 흑돼지 | #밥맛없는언니들 EP.26,201723
29,예쁜 여자에 미친듯이 집착하는 여미새 남친 [연애의 참견] | KBS Joy 230221 방송,181309
27,팬 덕질하는 연예인이 있탁?🤫 어디서도 볼 수 없는 TAKs STUDIO 비하인드,169713
23,[🇺🇸육아 브이로그] 아빠가 된 타일러의 하루 (feat.아들바보),163877
45,남친 부모님과 살아본 소감은? | 5명의 일본인과 협업한 코타생일 서프라이즈🎉 | (일본 하숙로그 1) 나홀로 하숙집 지키기 vlog #한일커플,150274
24,So!YoON! (황소윤) 'Smoke Sprite' (feat. RM of BTS) Teaser,141618
91,4차원 아기들 폭설편 - 병맛더빙,128636
15,4차원 아기들 폭설편 - 병맛더빙,128636
39,내가 생각하는 30대,107731
10,"코드 쿤스트 (CODE KUNST) - '55 (Feat. 백예린 (Yerin Baek), 웬디 (WENDY))' Official MV",102556
12,💥지금까지 왜! 긴~시간동안 ✔우엉을 조려왔는지 후회했습니다💯,96329
82,💥지금까지 왜! 긴~시간동안 ✔우엉을 조려왔는지 후회했습니다💯,96329
